,Country,Date Start,Description of measure implemented
1605,Brazil,"Mar 21, 2020","On 21 March, researchers are mobilizing to increase test availability in Brazil."
1028,US: Illinois,"Mar 21, 2020",All public and private gatherings of any number of people occurring outside a single household or living unit are prohibited
1251,Singapore,"Mar 21, 2020","Public sector agencies will introduce WFH, split locations, staggered teams, and so on where possible"
1614,Brazil,"Mar 21, 2020","n view of the advance of the Covid-19 outbreak, the federal government closed land borders with Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru and Suriname. The border with Venezuela is already closed."
1027,US: Illinois,"Mar 21, 2020",all individuals currently living within the State of Illinois are ordered to stay at home or at their place of residence
875,Bulgaria,"Mar 21, 2020","Exports of all quinine-based drugs were prohibited until further notice, and 35,000 doses of quinine-based Analgin for export have been diverted for domestic consumption. Another 250,000 doses of the drug can reportedly be produced on a short notice by local pharmaceutical companies."
18,South Korea,"Mar 21, 2020","Korean government asked religious activities, indoor sports and bars to halt operation for 15 days to prevent further spread and disinfect public spaces effectively - failure to comply will lead to penalty up to 3 million won (US$4000) "
1026,US: Illinois,"Mar 21, 2020","All businesses and operations in the State, except Essential Businesses and Operations as defined below, are required to cease all activities within the State"
678,US: S Carolina,"Mar 21, 2020",local law enforcement to disperse crowds gathered on state beaches
1162,Czechia,"Mar 21, 2020",100% of citizens in public wearing masks
1613,Brazil,"Mar 21, 2020","On 21 March, In SP, cases of coronavirus rise almost 40% in two hours. Deaths also increased in the period. Cities in the Campinas region declared an emergency situation due to the pandemic of the new coronavirus. In addition to the metropolis, Hortolândia, Holambra, Indaiatuba, Itapira, Jaguariúna, Mogi Guaçu, Mogi Mirim, Paulínia, Sumaré and Águas de Lindoia issued decrees with special measures to contain the progress of Covid-19 cases. Valinhos and Vinhedo determined a state of public calamity. Americana is in a state of attention."
928,Croatia,"Mar 21, 2020","On 21 March, traffic with Slovenian regions White Carniola and Lower Carniola was completely suspended. Citizens of Croatia who work in those regions were banned from crossing the border as well."
867,Bulgaria,"Mar 21, 2020","After testing positive for COVID-19, business magnate Kiril Domuschiev announced that his company will procure chloroquine from foreign sources and donate it to the national coronavirus task force. Chloroquine, a quinine drug, has shown positive effects on COVID-19 patients in China and France. The Bulgarian government is looking into import opportunities from China and domestic production by local pharmaceutical companies."
982,US: Illinois,"Mar 21, 2020","All travel, including, but not limited to, travel by automobile, motorcycle, scooter, bicycle, train, plane, or public transit, except Essential Travel and Essential Activities as defined herein, is prohibited."
1615,Brazil,"Mar 21, 2020","The governor of São Paulo, João Doria (PSDB), recommended closing the shopping centers and gyms in the metropolitan region. In addition, classes in public and private schools are also being suspended."
1616,Brazil,"Mar 21, 2020","The governor of São Paulo, João Doria (PSDB), recommended closing the shopping centers and gyms in the metropolitan region. In addition, classes in public and private schools are also being suspended."
892,Egypt,"Mar 21, 2020",All mosques and churches closed
1294,Serbia,"Mar 21, 2020",All public transport was prohibited
1145,Hungary,"Mar 21, 2020",National Media and Infocommunications Authority: Only visit the post office if absolutely necessary
833,Belarus,"Mar 21, 2020","As of 21 March, a total of 76 confirmed cases have been reported."
1296,Serbia,"Mar 21, 2020","All gatherings on public places and sports courts were also banned, as were gatherings of more than 5 people in private spaces."
1297,Serbia,"Mar 21, 2020",All business in shopping malls was prohibited except for grocery stores and pharmacies
1489,Finland,"Mar 21, 2020","The first death, an elderly individual who lived in the Helsinki and Uusimaa hospital district, who had died a day earlier, was reported on 21 March"
1634,US:Hawaii,"Mar 21, 2020",mandated a 14-day quarantine for all visitors and residents returning to Hawaii
1316,Nepal,"Mar 21, 2020",Kathmandu city launched a central help desk and a toll-free 24-hour hotline.
1315,Germany,"Mar 21, 2020",Germany pledged an additional one million Euros to its existing health programmes in Nepal to help combat the disease.[
1314,Nepal,"Mar 21, 2020",It was reported that Gandaki Province had set up 111 isolation beds
1313,Nepal,"Mar 21, 2020",It also deployed 200 of its personnel to display placards with awareness messages about the disease by the roadside.
1312,Nepal,"Mar 21, 2020","The Health Ministry informed that private hospitals with more than 100 beds would not be allowed to refer patients to other hospitals; they were required to treat suspected patients, wait for test results and provide free treatment if the disease were confirmed."
876,Bulgaria,"Mar 21, 2020","Bulgarian biotechnology company Micar21 has been developing a general Coronavirus vaccine in the past four years, and announced that it will begin clinical trials of a SARS-CoV-2 vaccine based on this research in mid-2020.[37] The company announced that with government support in funding and shorter clinical trial protocols, the drug could be synthesised in two months."
1482,Ireland,"Mar 21, 2020","On 21 March, State broadcaster Raidió Teilifís Éireann announced that it would begin showing ""school"" live on television."
1530,US: Pennsylvania,"Mar 21, 2020","The PA Department of Education canceled all statewide assessments including the PSSA testing, Keystone exams, and the Pennsylvania Alternate System of Assessment (PASA)"
1471,Bosnia and Herzegovina,"Mar 21, 2020","From 21 March, most of the sports activities were canceled across the entire country, including all football matches in all categories"
1533,US: Pennsylvania,"Mar 21, 2020",Governor Wolf announced that all Pennsylvania schools will be closed for at least two
1447,US:Alaska,"Mar 21, 2020","Town of 8,000 with a cluster of 6 cases ordered shelter in place for the following 14 days"
1468,Bosnia and Herzegovina,"Mar 21, 2020","On 21 March 2020, curfew was introduced in entire Republika Srpska every day from 20:00 until 05:00, and total ban of movement for people older that 65."
1095,South Korea,"Mar 21, 2020",54 patient found to be positive in the Aged Care facility- total 64 patients have COVID19. Level 6&7 put into cohort isolation and disinfecting hospital process have been implemented 
121,Hong Kong,"Mar 21, 2020","- The exams for the Hong Kong Diploma of Secondary Education will be postponed and oral exams cancelled. The key tests, which are a reference for university enrollment, will be pushed back to April 24 and schools will remain closed until further notice.
- Only essential government services will be in operation as of Monday. Libraries, museums and leisure facilities will close, after they reopened at the start of March, as Lam urged private sector employers to roll out work-from-home arrangements.
- The government will give two face masks per day to seniors at elderly homes"
